company,rank,priority,type,sector,why_interesting,confirmed_hall,confirmed_stand,event_info,contact,meeting_date,meeting_time,visited,notes
Hortifrut,1,High,Operator,Berries,Major global berry operator,,,Blueberry World Forum - 7 Oct 16:30,,,,No,
SUREXPORT,2,High,,,,,,,,,,No,
Alcoaxarquia,3,High,Operator,Avocado & Mango,Relevant avocado operator,9,9D12,,,,,No,
Veolia Agricultura,4,Medium,Technical Partner,Water & Agriculture,Water management and high-value crop expertise,8,8C23,,,,,No,
Fall Creek,5,Medium,Genetics,Blueberries,Blueberry genetics and grower network,,,Blueberry World Forum - 7 Oct,,,,No,
Planasa,6,Medium,Genetics,Berries,Berry genetics and plant material,,,,,,,No,
CITRICOM,7,Medium,,,,,,,,,,No,
VEOLIA,8,Medium,,,,,,,,,,No,
